product_name,area,unit,high_price,middle_price,low_price,category,wareki,weather,date
だいこん L,千葉,10Kg,1728,1080,1080,野菜,令和3年1月23日,晴れ,2021-01-23
だいこん L,神奈川,10Kg,1728,1080,1080,野菜,令和3年1月23日,晴れ,2021-01-23
かぶ 3L,千葉,1束,－,173,－,野菜,令和3年1月23日,晴れ,2021-01-23
かぶ LL,千葉,1束,140,108,65,野菜,令和3年1月23日,晴れ,2021-01-23
にんじん M,茨城,10Kg,1944,1728,1512,野菜,令和3年1月23日,晴れ,2021-01-23
にんじん M,千葉,10Kg,1944,1836,1728,野菜,令和3年1月23日,晴れ,2021-01-23
ごぼう M,青森,4Kg,1728,1404,756,野菜,令和3年1月23日,晴れ,2021-01-23
はくさい,茨城,15Kg,756,432,432,野菜,令和3年1月23日,晴れ,2021-01-23
みずな,宮城,150g,86,－,76,野菜,令和3年1月23日,晴れ,2021-01-23
みずな,茨城,200g,92,－,86,野菜,令和3年1月23日,晴れ,2021-01-23
小松菜,宮城,250g,119,119,76,野菜,令和3年1月23日,晴れ,2021-01-23
キャベツ L,千葉,10Kg,－,1188,－,野菜,令和3年1月23日,晴れ,2021-01-23
キャベツ L,愛知,10Kg,1404,1188,1080,野菜,令和3年1月23日,晴れ,2021-01-23
ほうれん草,宮城,200g,151,108,54,野菜,令和3年1月23日,晴れ,2021-01-23
小ねぎ,宮城,100g,130,－,108,野菜,令和3年1月23日,晴れ,2021-01-23
長ねぎ L,宮城,5Kg,2160,－,1944,野菜,令和3年1月23日,晴れ,2021-01-23
長ねぎ L,埼玉,5Kg,3240,3024,2700,野菜,令和3年1月23日,晴れ,2021-01-23
曲がりねぎ,宮城,4Kg,1512,－,1296,野菜,令和3年1月23日,晴れ,2021-01-23
あさつき,福島,4Kg,－,2160,－,野菜,令和3年1月23日,晴れ,2021-01-23
糸みつば,宮城,60g,－,97,－,野菜,令和3年1月23日,晴れ,2021-01-23
糸みつば,宮城,100g,108,－,76,野菜,令和3年1月23日,晴れ,2021-01-23
しゅんぎく M,宮城,150g,140,140,130,野菜,令和3年1月23日,晴れ,2021-01-23
せり M,宮城,100g,173,108,108,野菜,令和3年1月23日,晴れ,2021-01-23
にら L,福島,100g,119,65,65,野菜,令和3年1月23日,晴れ,2021-01-23
にら M,高知,100g,130,－,124,野菜,令和3年1月23日,晴れ,2021-01-23
ブロッコリー L,香川,6Kg,－,4320,－,野菜,令和3年1月23日,晴れ,2021-01-23
ブロッコリー L,熊本,6Kg,－,3888,－,野菜,令和3年1月23日,晴れ,2021-01-23
レタス L,香川,10Kg,3564,3456,3240,野菜,令和3年1月23日,晴れ,2021-01-23
チンゲンサイ,宮城,250g,86,86,54,野菜,令和3年1月23日,晴れ,2021-01-23
ゆきな,宮城,200g,76,－,54,野菜,令和3年1月23日,晴れ,2021-01-23
ゆきな,宮城,250g,108,97,54,野菜,令和3年1月23日,晴れ,2021-01-23
きゅうり M,高知,5Kg,2376,2160,1836,野菜,令和3年1月23日,晴れ,2021-01-23
かぼちゃ ７玉,メキシコ,10Kg,2160,1674,1674,野菜,令和3年1月23日,晴れ,2021-01-23
なす M,高知,5Kg,2916,2268,2160,野菜,令和3年1月23日,晴れ,2021-01-23
トマト M,宮城,4Kg,1296,－,1080,野菜,令和3年1月23日,晴れ,2021-01-23
だいこん L,千葉,10Kg,1728,1080,1080,野菜,令和3年1月23日,晴れ,2021-01-23
だいこん L,神奈川,10Kg,1728,1080,1080,野菜,令和3年1月23日,晴れ,2021-01-23
かぶ 3L,千葉,1束,－,173,－,野菜,令和3年1月23日,晴れ,2021-01-23
かぶ LL,千葉,1束,140,108,65,野菜,令和3年1月23日,晴れ,2021-01-23
にんじん M,茨城,10Kg,1944,1728,1512,野菜,令和3年1月23日,晴れ,2021-01-23
にんじん M,千葉,10Kg,1944,1836,1728,野菜,令和3年1月23日,晴れ,2021-01-23
ごぼう M,青森,4Kg,1728,1404,756,野菜,令和3年1月23日,晴れ,2021-01-23
はくさい,茨城,15Kg,756,432,432,野菜,令和3年1月23日,晴れ,2021-01-23
みずな,宮城,150g,86,－,76,野菜,令和3年1月23日,晴れ,2021-01-23
みずな,茨城,200g,92,－,86,野菜,令和3年1月23日,晴れ,2021-01-23
小松菜,宮城,250g,119,119,76,野菜,令和3年1月23日,晴れ,2021-01-23
キャベツ L,千葉,10Kg,－,1188,－,野菜,令和3年1月23日,晴れ,2021-01-23
キャベツ L,愛知,10Kg,1404,1188,1080,野菜,令和3年1月23日,晴れ,2021-01-23
ほうれん草,宮城,200g,151,108,54,野菜,令和3年1月23日,晴れ,2021-01-23
小ねぎ,宮城,100g,130,－,108,野菜,令和3年1月23日,晴れ,2021-01-23
長ねぎ L,宮城,5Kg,2160,－,1944,野菜,令和3年1月23日,晴れ,2021-01-23
長ねぎ L,埼玉,5Kg,3240,3024,2700,野菜,令和3年1月23日,晴れ,2021-01-23
曲がりねぎ,宮城,4Kg,1512,－,1296,野菜,令和3年1月23日,晴れ,2021-01-23
あさつき,福島,4Kg,－,2160,－,野菜,令和3年1月23日,晴れ,2021-01-23
糸みつば,宮城,60g,－,97,－,野菜,令和3年1月23日,晴れ,2021-01-23
糸みつば,宮城,100g,108,－,76,野菜,令和3年1月23日,晴れ,2021-01-23
しゅんぎく M,宮城,150g,140,140,130,野菜,令和3年1月23日,晴れ,2021-01-23
せり M,宮城,100g,173,108,108,野菜,令和3年1月23日,晴れ,2021-01-23
にら L,福島,100g,119,65,65,野菜,令和3年1月23日,晴れ,2021-01-23
にら M,高知,100g,130,－,124,野菜,令和3年1月23日,晴れ,2021-01-23
ブロッコリー L,香川,6Kg,－,4320,－,野菜,令和3年1月23日,晴れ,2021-01-23
ブロッコリー L,熊本,6Kg,－,3888,－,野菜,令和3年1月23日,晴れ,2021-01-23
レタス L,香川,10Kg,3564,3456,3240,野菜,令和3年1月23日,晴れ,2021-01-23
チンゲンサイ,宮城,250g,86,86,54,野菜,令和3年1月23日,晴れ,2021-01-23
ゆきな,宮城,200g,76,－,54,野菜,令和3年1月23日,晴れ,2021-01-23
